Feature 1,Feature 2,Absolute Correlation
ACK Flag Cnt,Down/Up Ratio,0.2560495738090542
TotLen Fwd Pkts,Fwd Pkt Len Std,0.2550591453356624
Fwd Pkt Len Std,Subflow Fwd Byts,0.2550591453356624
Pkt Size Avg,Subflow Fwd Pkts,0.2547399118668035
Tot Fwd Pkts,Pkt Size Avg,0.2547399118668035
Bwd Pkt Len Std,Fwd Seg Size Min,0.2547359146855654
Pkt Size Avg,Init Bwd Win Byts,0.2544776438847928
Fwd IAT Tot,Fwd Act Data Pkts,0.25339866350253726
PSH Flag Cnt,URG Flag Cnt,0.2513369190060142
Dst Port,Bwd Pkt Len Max,0.25105963244767493
Bwd IAT Tot,PSH Flag Cnt,0.2509526968897362
Tot Fwd Pkts,Fwd Act Data Pkts,0.25078542384143626
Subflow Fwd Pkts,Fwd Act Data Pkts,0.25078542384143626
Bwd Seg Size Avg,Idle Max,0.2506998838887579
Bwd Pkt Len Mean,Idle Max,0.25069988388875786
Flow Duration,Fwd Act Data Pkts,0.24941305757286308
Pkt Len Std,Init Fwd Win Byts,0.24938445834471357
Protocol,Flow Duration,0.24882442904965385
Bwd IAT Std,PSH Flag Cnt,0.24836163170813505
Flow Byts/s,Fwd PSH Flags,0.24759633052762187
Flow Byts/s,SYN Flag Cnt,0.24759633052762187
Dst Port,Pkt Size Avg,0.24733891534328017
Flow IAT Std,Pkt Len Max,0.24659116765389197
Pkt Len Mean,Subflow Bwd Byts,0.24641966941038082
TotLen Bwd Pkts,Pkt Len Mean,0.24641966941038076
Bwd Seg Size Avg,Idle Mean,0.24629447084661443
Bwd Pkt Len Mean,Idle Mean,0.24629447084661443
Pkt Len Mean,Idle Max,0.24587057269074628
Tot Fwd Pkts,Bwd Pkt Len Mean,0.24568016353847905
Bwd Pkt Len Mean,Subflow Fwd Pkts,0.24568016353847905
Bwd Seg Size Avg,Subflow Fwd Pkts,0.24568016353847894
Tot Fwd Pkts,Bwd Seg Size Avg,0.24568016353847894
Bwd Pkt Len Max,Flow IAT Std,0.24547573054699165
Dst Port,Pkt Len Max,0.24332451048933307
Fwd Header Len,Pkt Size Avg,0.24301210753185556
Protocol,Fwd IAT Tot,0.24293877116254697
Bwd Pkt Len Min,Pkt Len Std,0.24196071930448043
Dst Port,Fwd Pkt Len Mean,0.24190008781718791
Dst Port,Fwd Seg Size Avg,0.24190008781718791
Flow IAT Std,Pkt Len Mean,0.24118002796865298
Pkt Len Mean,Idle Mean,0.24046419782314793
Flow Duration,Pkt Len Var,0.2390963847073341
Pkt Len Std,Idle Max,0.23730337597609374
RST Flag Cnt,PSH Flag Cnt,0.23720896796164342
PSH Flag Cnt,ECE Flag Cnt,0.23720519291818487
Bwd Pkt Len Mean,Bwd Header Len,0.23704825836820442
Bwd Header Len,Bwd Seg Size Avg,0.23704825836820437
Fwd IAT Tot,Pkt Len Var,0.23662302964639012
Active Std,Idle Max,0.23635205543349094
TotLen Bwd Pkts,Pkt Size Avg,0.23629080530176333
Pkt Size Avg,Subflow Bwd Byts,0.2362908053017633
Bwd Seg Size Avg,Idle Min,0.23524321807385615
Bwd Pkt Len Mean,Idle Min,0.23524321807385615
Dst Port,Fwd Pkts/s,0.23496312487835325
Tot Bwd Pkts,Bwd Pkt Len Mean,0.23422661252267132
Bwd Seg Size Avg,Subflow Bwd Pkts,0.2342266125226713
Bwd Pkt Len Mean,Subflow Bwd Pkts,0.2342266125226713
Tot Bwd Pkts,Bwd Seg Size Avg,0.2342266125226713
Pkt Len Std,Idle Mean,0.23308668305693928
Active Max,Idle Max,0.23298749538005126
Bwd IAT Std,Idle Std,0.23257045379633495
Bwd Pkt Len Mean,Fwd Header Len,0.23181936143520449
Fwd Header Len,Bwd Seg Size Avg,0.23181936143520446
Down/Up Ratio,Init Bwd Win Byts,0.23151300837819147
Bwd IAT Std,Pkt Len Var,0.23141902706487597
URG Flag Cnt,Fwd Seg Size Avg,0.23095889326566127
Fwd Pkt Len Mean,URG Flag Cnt,0.23095889326566127
Bwd IAT Max,Active Mean,0.2304148395102692
Dst Port,Pkt Len Std,0.23011145837886973
Pkt Len Mean,Idle Min,0.22870625386916815
Dst Port,Bwd Pkt Len Mean,0.2280389789725629
Dst Port,Bwd Seg Size Avg,0.2280389789725629
Pkt Size Avg,Idle Max,0.22745468996770152
ACK Flag Cnt,Init Fwd Win Byts,0.22685999565280934
Bwd IAT Max,PSH Flag Cnt,0.22669853552960126
Flow IAT Std,Pkt Size Avg,0.2263195884107816
Dst Port,Pkt Len Mean,0.2251583717776527
Bwd IAT Std,Active Max,0.22467643398349582
Protocol,Flow IAT Max,0.22226156956828286
Pkt Size Avg,Idle Mean,0.2222562435749062
Pkt Len Std,Idle Min,0.2217983751320157
Pkt Len Mean,Active Max,0.22141925474965843
Pkt Len Mean,Active Std,0.22043790808573424
Fwd IAT Min,ACK Flag Cnt,0.21878605516982313
Flow IAT Min,ACK Flag Cnt,0.2183361810794997
Active Std,Idle Mean,0.21777815588474622
Fwd IAT Std,Active Std,0.21763173621645018
Fwd Pkt Len Max,Bwd IAT Tot,0.21751750491472643
Active Std,Idle Std,0.21627458135063501
Bwd Pkt Len Mean,Init Bwd Win Byts,0.2162365004236432
Bwd Seg Size Avg,Init Bwd Win Byts,0.21623650042364315
Fwd IAT Std,Idle Std,0.21593505938337687
Dst Port,Bwd Pkt Len Std,0.21565727920284153
Fwd Seg Size Avg,Init Fwd Win Byts,0.21561903665452195
Fwd Pkt Len Mean,Init Fwd Win Byts,0.21561903665452195
Fwd Pkt Len Std,Bwd IAT Tot,0.21542890614024598
Protocol,Fwd IAT Max,0.21537329474580133
Protocol,Init Bwd Win Byts,0.2151699187437718
Flow IAT Mean,ACK Flag Cnt,0.21514054820935288
TotLen Bwd Pkts,Bwd Pkt Len Mean,0.2144267497877553
Bwd Pkt Len Mean,Subflow Bwd Byts,0.2144267497877553
Bwd Seg Size Avg,Subflow Bwd Byts,0.21442674978775525
TotLen Bwd Pkts,Bwd Seg Size Avg,0.21442674978775525
Active Max,Idle Mean,0.21392628751676787
Pkt Size Avg,Idle Min,0.21116173106624958
Bwd Pkt Len Max,URG Flag Cnt,0.2110084827571678
Pkt Len Max,URG Flag Cnt,0.21089898254078343
URG Flag Cnt,Pkt Size Avg,0.21072149193932901
Flow IAT Max,Bwd Seg Size Avg,0.2093432708021251
Bwd Pkt Len Mean,Flow IAT Max,0.209343270802125
Bwd IAT Max,Bwd IAT Min,0.20914114029180988
Bwd Pkt Len Mean,Active Std,0.2091055834516844
Bwd Seg Size Avg,Active Std,0.20910558345168437
Bwd IAT Max,Fwd Act Data Pkts,0.2079028797427493
Pkt Size Avg,Active Std,0.20780743846020475
Bwd Pkt Len Mean,Fwd IAT Max,0.2076963331789579
Fwd IAT Max,Bwd Seg Size Avg,0.20769633317895786
Bwd Pkt Len Std,Idle Max,0.2074861306386715
Pkt Size Avg,Active Max,0.2073407357947589
Flow IAT Max,Idle Std,0.20704724227315832
TotLen Fwd Pkts,Pkt Len Max,0.20631152181573625
Pkt Len Max,Subflow Fwd Byts,0.20631152181573625
Dst Port,Fwd Pkt Len Max,0.2056922601949554
Bwd Pkt Len Std,Bwd IAT Mean,0.20557931236317833
Active Mean,Idle Max,0.205341213099302
Flow IAT Std,Idle Std,0.2050010824192996
Bwd Header Len,Fwd Act Data Pkts,0.20478108626295752
Bwd Pkt Len Std,Idle Mean,0.20416212398810057
Fwd IAT Mean,ACK Flag Cnt,0.20348609166187673
Pkt Len Std,URG Flag Cnt,0.20186123248127658
Dst Port,Protocol,0.2005771143291653
Bwd Seg Size Avg,Active Max,0.2002760002801523
Bwd Pkt Len Mean,Active Max,0.2002760002801523
Pkt Len Min,Init Bwd Win Byts,0.2002297516997827
Active Max,Idle Std,0.1990272480670245
Flow IAT Max,Pkt Len Mean,0.19773624132846107
Bwd IAT Mean,Pkt Len Max,0.19766104032263623
Fwd Pkt Len Std,Fwd IAT Std,0.1971562727960102
Fwd Pkt Len Min,Init Bwd Win Byts,0.1962618243849544
Bwd Pkt Len Min,Init Bwd Win Byts,0.1962534569740942
Fwd IAT Mean,Down/Up Ratio,0.19613957031668108
Active Std,Idle Min,0.19594760267636735
Fwd IAT Max,Pkt Len Mean,0.19541697031541547
Bwd IAT Mean,Pkt Len Std,0.1953382747105699
Fwd IAT Min,PSH Flag Cnt,0.19464810782411104
Bwd Pkt Len Std,Idle Min,0.1945404390068316
Pkt Len Std,Active Std,0.19402377941155158
Pkt Len Max,Idle Max,0.1936941901669753
Bwd Pkt Len Max,Bwd IAT Mean,0.1936034145506444
Active Max,Idle Min,0.19307792874592286
Flow IAT Mean,Down/Up Ratio,0.19299365713808841
Pkt Len Mean,URG Flag Cnt,0.1925962252979125
Fwd IAT Max,Idle Std,0.19250007826466006
Bwd Pkt Len Max,Idle Max,0.19223585417260383
Dst Port,Fwd Act Data Pkts,0.19172567721841202
Protocol,Fwd IAT Mean,0.19172502058082097
Flow IAT Min,PSH Flag Cnt,0.19156654230230769
Dst Port,Bwd Pkt Len Min,0.1907750099720008
Flow IAT Std,Pkt Len Var,0.190374497906383
Pkt Len Max,Idle Mean,0.1902682462072045
Fwd IAT Max,Pkt Len Std,0.189299056469759
Fwd Pkt Len Max,URG Flag Cnt,0.18923160939305814
Fwd IAT Std,PSH Flag Cnt,0.18897803924916137
Bwd Pkt Len Max,Idle Mean,0.18883652516259827
ACK Flag Cnt,Init Bwd Win Byts,0.18775277211024308
Flow IAT Max,Pkt Len Std,0.18754201649636684
Flow IAT Min,Down/Up Ratio,0.1873028406712978
Protocol,Idle Mean,0.18687839091987293
Active Mean,Idle Mean,0.1867722387207031
Protocol,Idle Max,0.18603898845593722
Dst Port,Pkt Len Min,0.18573422659584746
Bwd Pkt Len Std,URG Flag Cnt,0.1847890304133823
Flow IAT Std,Active Max,0.18463676190893483
Pkt Len Std,Active Max,0.18440501425429742
Fwd IAT Std,Active Max,0.184318491216404
Protocol,Idle Min,0.18429110124837716
Bwd IAT Std,Fwd Act Data Pkts,0.18412966261838856
Pkt Len Std,Fwd Seg Size Min,0.18370237118816235
Fwd IAT Min,Down/Up Ratio,0.18358467233846168
Active Mean,Idle Std,0.18325963834925837
Tot Fwd Pkts,Pkt Len Std,0.18307698805207615
Pkt Len Std,Subflow Fwd Pkts,0.18307698805207612
Flow IAT Std,Active Std,0.18300661056771628
Protocol,Flow IAT Mean,0.18179738561462314
Fwd Pkt Len Std,URG Flag Cnt,0.1817439386437665
Flow Duration,Bwd Pkt Len Min,0.18151874074895785
Fwd Header Len,Pkt Len Std,0.18127849803761967
Pkt Len Max,Idle Min,0.18087137192448863
Bwd Pkt Len Mean,URG Flag Cnt,0.1806499224572722
URG Flag Cnt,Bwd Seg Size Avg,0.18064992245727218
Bwd Pkt Len Max,Idle Min,0.17953933303471148
Dst Port,Fwd Pkt Len Std,0.17946383326831275
Pkt Len Var,Idle Max,0.17837747291574768
Fwd PSH Flags,PSH Flag Cnt,0.17827135356379245
SYN Flag Cnt,PSH Flag Cnt,0.17827135356379245
Fwd Pkt Len Mean,Flow Pkts/s,0.17748814129789017
Flow Pkts/s,Fwd Seg Size Avg,0.17748814129789017
Dst Port,Fwd Pkt Len Min,0.17672559015489403
Fwd Pkts/s,Fwd Seg Size Min,0.1767146921779636
Flow IAT Max,Pkt Size Avg,0.17618566584384052
Bwd Pkt Len Min,Fwd IAT Tot,0.17593357637027274
Fwd Header Len,Pkt Len Max,0.17565288237391882
Pkt Len Var,Idle Mean,0.17553047523183818
Fwd Pkt Len Std,Down/Up Ratio,0.17505455061140646
Fwd IAT Max,Pkt Size Avg,0.17464015963914123
Bwd Pkt Len Max,Fwd Header Len,0.17460253261350567
Fwd Pkt Len Std,Bwd IAT Std,0.17432408580344017
Idle Mean,Idle Std,0.17407821971282567
Flow Duration,Pkt Len Min,0.1737969511600018
Flow IAT Mean,PSH Flag Cnt,0.1737553172828867
Bwd Pkt Len Max,Flow Pkts/s,0.1735272845698172
Subflow Bwd Pkts,Fwd Act Data Pkts,0.17247544973244716
Tot Bwd Pkts,Fwd Act Data Pkts,0.17247544973244716
Flow Pkts/s,Pkt Len Max,0.17142422239676328
URG Flag Cnt,Down/Up Ratio,0.17124996021873962
Bwd Pkt Len Std,Fwd IAT Max,0.17123173318693943
Flow Duration,Idle Std,0.1708791387834778
Bwd IAT Mean,Active Std,0.17002251893186543
Flow Duration,Fwd Pkt Len Min,0.1697470022742626
Flow IAT Max,Active Std,0.16950090158216502
Dst Port,Flow Pkts/s,0.16935804253154307
Active Mean,Idle Min,0.1692017255738141
Bwd Pkt Len Std,Flow IAT Max,0.1688095553478141
Fwd Act Data Pkts,Active Max,0.1685211063676708
Fwd IAT Tot,Pkt Len Min,0.16800728513714278
Pkt Len Var,Idle Min,0.1677493146232254
Fwd Pkt Len Max,Fwd IAT Std,0.16770734299153914
Pkt Len Var,Init Bwd Win Byts,0.16760380738805414
Fwd Pkt Len Mean,Fwd IAT Min,0.16722422243232785
Fwd IAT Min,Fwd Seg Size Avg,0.16722422243232785
Flow IAT Max,Active Max,0.16719381333499567
Bwd Pkts/s,Init Fwd Win Byts,0.16703119100144068
Pkt Len Mean,ECE Flag Cnt,0.16613704331999524
Pkt Len Mean,RST Flag Cnt,0.1661293956436004
Fwd Pkt Len Mean,Flow IAT Min,0.16567548837670554
Flow IAT Min,Fwd Seg Size Avg,0.16567548837670554
Flow Duration,Active Mean,0.16528698377656617
Bwd IAT Std,Active Mean,0.16517008062713706
Tot Fwd Pkts,Pkt Len Max,0.1651594869476901
Pkt Len Max,Subflow Fwd Pkts,0.1651594869476901
Fwd IAT Max,Active Std,0.16515467309431625
Flow Pkts/s,Pkt Size Avg,0.16423715177957554
Protocol,Fwd IAT Min,0.1641498656152537
Fwd Pkt Len Min,Fwd IAT Tot,0.16414492214175577
Bwd Pkt Len Max,Fwd IAT Min,0.16410640747273908
Bwd IAT Mean,PSH Flag Cnt,0.16404791379124958
Bwd IAT Tot,Active Mean,0.1640289699950674
Protocol,Flow IAT Min,0.1635687240686361
Pkt Len Var,ACK Flag Cnt,0.16333091432215271
Bwd IAT Mean,Active Max,0.16309224374807754
Bwd Pkt Len Max,Subflow Fwd Pkts,0.16298094952318834
Tot Fwd Pkts,Bwd Pkt Len Max,0.16298094952318834
Fwd Pkt Len Max,Fwd Header Len,0.1629800379305429
Fwd Act Data Pkts,Active Std,0.16286549264207473
Fwd IAT Min,Pkt Len Max,0.16275141736792
Fwd IAT Max,Pkt Len Var,0.16219615174689284
Bwd IAT Tot,Idle Std,0.16218494178702744
Flow Pkts/s,Pkt Len Std,0.1619740345688448
Down/Up Ratio,Pkt Size Avg,0.16186524804310745
Flow IAT Max,Pkt Len Var,0.1617744667120707
Bwd Pkt Len Max,Flow IAT Min,0.16153825297344346
Protocol,Pkt Len Var,0.16103389655873332
Protocol,Bwd IAT Tot,0.16094793642069583
Bwd Pkt Len Min,Flow IAT Max,0.16054005236842342
Flow IAT Min,Pkt Len Max,0.16029784762982804
Bwd IAT Max,Active Min,0.16020342165017373
Flow IAT Mean,Fwd Seg Size Avg,0.15986243274219822
Fwd Pkt Len Mean,Flow IAT Mean,0.15986243274219822
Flow IAT Std,PSH Flag Cnt,0.1592605349285442
Fwd Pkts/s,ACK Flag Cnt,0.15922173456608568
ECE Flag Cnt,Pkt Size Avg,0.15842245176613728
RST Flag Cnt,Pkt Size Avg,0.15841440702759768
Fwd Pkt Len Mean,Bwd Pkts/s,0.15840900799932317
Bwd Pkts/s,Fwd Seg Size Avg,0.15840900799932317
Fwd Pkt Len Max,Bwd IAT Std,0.15754745930966804
Fwd IAT Min,Pkt Len Std,0.15691006914491695
Dst Port,SYN Flag Cnt,0.1567960693037411
Dst Port,Fwd PSH Flags,0.1567960693037411
Fwd Pkt Len Std,Bwd IAT Max,0.15678389597967088
Fwd IAT Tot,Idle Std,0.15618000057895368
Pkt Len Max,Active Std,0.15577327259920348
URG Flag Cnt,Fwd Act Data Pkts,0.15551594333623142
Fwd IAT Mean,PSH Flag Cnt,0.15523123076119497
Fwd IAT Min,Pkt Size Avg,0.15469554919671935
Fwd IAT Std,Fwd Act Data Pkts,0.1546905622187584
Flow IAT Min,Pkt Len Std,0.15464168782112525
Bwd IAT Min,Idle Mean,0.1539946304264943
Bwd Pkt Len Std,Active Std,0.15364372068838053
Bwd Pkt Len Min,Fwd IAT Max,0.15363897755349504
Bwd IAT Mean,Fwd Act Data Pkts,0.15353831306811927
Bwd IAT Min,Idle Max,0.15286253037407538
Flow IAT Min,Pkt Size Avg,0.15284514447983347
Fwd Pkt Len Mean,Fwd Pkts/s,0.15279660192557365
Fwd Pkts/s,Fwd Seg Size Avg,0.15279660192557365
Bwd Pkt Len Max,Active Std,0.1527308028454306
Fwd Pkt Len Max,Flow Pkts/s,0.15212545993554444
Flow Pkts/s,Pkt Len Mean,0.15185758393875132
Bwd Pkt Len Std,Flow Pkts/s,0.1518010614762729
Flow IAT Max,Active Mean,0.15171524015084012
Bwd Pkt Len Max,Fwd Pkts/s,0.1516143021161086
Flow Duration,Fwd Pkt Len Std,0.15143471538577224
Fwd Pkt Len Max,Bwd IAT Max,0.15122075818112946
Active Min,Idle Max,0.15121108892125112
Bwd IAT Min,Idle Min,0.1508835041613494
Bwd Pkt Len Max,Bwd Pkts/s,0.15042687103927938
Pkt Len Min,Pkt Len Var,0.15022172173968068
Fwd Pkt Len Std,Fwd IAT Tot,0.1501983127139074
Bwd Pkts/s,Pkt Len Max,0.1501863465722409
Fwd Pkts/s,Pkt Len Max,0.1489841010522917
Bwd IAT Tot,Pkt Len Min,0.14860237568189064
Flow IAT Std,Active Mean,0.14841847057334076
Pkt Len Max,Active Max,0.1484067620604812
Dst Port,Down/Up Ratio,0.14829436633898896
Fwd Pkt Len Std,Flow IAT Std,0.14816607191594858
Flow Pkts/s,Bwd Seg Size Avg,0.1477399996006175
Bwd Pkt Len Mean,Flow Pkts/s,0.14773999960061748
Bwd Pkts/s,Pkt Size Avg,0.14740173473995066
Pkt Len Mean,Active Mean,0.14661864487578558
Fwd Pkt Len Max,Down/Up Ratio,0.14659331588613272
Fwd IAT Mean,Fwd Seg Size Avg,0.14645314944831217
Fwd Pkt Len Mean,Fwd IAT Mean,0.14645314944831217
Fwd Pkt Len Min,Pkt Len Var,0.1461998940956515
Bwd Header Len,Pkt Len Std,0.14546082592888143
Bwd Pkt Len Max,Active Max,0.14526086874825864
Fwd Pkt Len Max,Fwd IAT Min,0.145023300312647
Fwd Pkt Len Min,Bwd IAT Tot,0.144837323644209
Tot Fwd Pkts,Fwd Pkt Len Max,0.14427265337033154
Fwd Pkt Len Max,Subflow Fwd Pkts,0.14427265337033154
Bwd Pkt Len Min,Bwd IAT Tot,0.14403455225954082
Bwd Pkt Len Std,Fwd IAT Min,0.14379342667297978
SYN Flag Cnt,Down/Up Ratio,0.14343162370576595
Fwd PSH Flags,Down/Up Ratio,0.14343162370576595
Fwd IAT Max,Active Max,0.1434224594489803
Fwd IAT Min,Pkt Len Mean,0.14338559841980875
Fwd Pkt Len Max,Fwd IAT Tot,0.1433603369135879
Bwd Pkts/s,Pkt Len Std,0.14291399974898542
Fwd Pkt Len Max,Flow IAT Min,0.14282612104151612
Fwd Pkt Len Std,Flow Pkts/s,0.14272551053312899
Protocol,Bwd IAT Std,0.1426449494710259
Protocol,URG Flag Cnt,0.14243887458131693
Fwd Pkt Len Mean,Fwd IAT Std,0.1422636017480951
Fwd IAT Std,Fwd Seg Size Avg,0.1422636017480951
Flow Duration,Fwd Pkt Len Max,0.14186614506394657
Fwd IAT Max,Down/Up Ratio,0.14179081901610985
Flow IAT Min,Pkt Len Mean,0.1416638183729563
Bwd Pkt Len Std,Flow IAT Min,0.1415311041516149
Flow IAT Max,Pkt Len Min,0.14125581369693135
Fwd Pkt Len Std,Fwd IAT Min,0.1410657359701925
Bwd Pkt Len Min,Pkt Len Var,0.14103534553874242
Fwd Pkts/s,Pkt Size Avg,0.14097865692879347
Bwd Pkt Len Std,Active Max,0.14076433270905025
Flow Byts/s,Bwd Pkts/s,0.14068656015412087
Bwd Pkts/s,Down/Up Ratio,0.14050397412701196
Fwd Pkts/s,Pkt Len Std,0.14026654787985549
Fwd IAT Min,Bwd Seg Size Avg,0.1399807892334478
Bwd Pkt Len Mean,Fwd IAT Min,0.1399807892334478
Tot Fwd Pkts,Bwd IAT Tot,0.13986189089581313
Bwd IAT Tot,Subflow Fwd Pkts,0.1398618908958131
Bwd Pkt Len Max,SYN Flag Cnt,0.13984337015776993
Bwd Pkt Len Max,Fwd PSH Flags,0.13984337015776993
URG Flag Cnt,Fwd Seg Size Min,0.139645928880429
Fwd Pkt Len Std,Flow IAT Min,0.13902183593350492
Flow Duration,PSH Flag Cnt,0.13863169238891931
Init Fwd Win Byts,Init Bwd Win Byts,0.13849565135909686
Fwd Pkt Len Min,Flow IAT Max,0.13832591092875376
Bwd Pkt Len Mean,Flow IAT Min,0.13827011666836553
Flow IAT Min,Bwd Seg Size Avg,0.13827011666836547
Bwd Pkt Len Max,Flow IAT Mean,0.13775658313314137
Fwd IAT Std,Active Mean,0.13761381373988874
Fwd IAT Max,Pkt Len Max,0.13756466705695203
Tot Fwd Pkts,Pkt Len Var,0.13751580741851555
Pkt Len Var,Subflow Fwd Pkts,0.13751580741851552
Bwd Pkt Len Max,Fwd IAT Max,0.13742726258275656
Flow IAT Mean,Pkt Size Avg,0.1373774944170109
Active Min,Idle Mean,0.13724837808507878
Pkt Size Avg,Active Mean,0.13700161313582138
Protocol,Bwd IAT Max,0.13692747098028243
Fwd IAT Tot,Active Mean,0.1366880340534935
Protocol,Flow IAT Std,0.13635595701074482
Flow IAT Mean,Pkt Len Max,0.13597331986586383
RST Flag Cnt,Down/Up Ratio,0.1359367172259316
ECE Flag Cnt,Down/Up Ratio,0.13593200449253898
Bwd Pkts/s,Pkt Len Mean,0.1354210485931615
Pkt Len Var,Active Std,0.134652686343915
Fwd Pkt Len Max,Bwd Pkts/s,0.13461499176174488
Pkt Len Std,Subflow Bwd Pkts,0.13385501096597094
Tot Bwd Pkts,Pkt Len Std,0.1338550109659709
Fwd IAT Max,Pkt Len Min,0.13380683950391045
Protocol,Fwd IAT Std,0.13326213213321186
Bwd IAT Std,Pkt Len Min,0.13314278509623365
Flow IAT Max,Pkt Len Max,0.1328389559555906
Bwd Pkt Len Max,Flow IAT Max,0.13281796557841002
Bwd Pkt Len Std,Fwd Pkts/s,0.13275169404865586
Bwd Pkt Len Std,Down/Up Ratio,0.13215904734512837
Fwd Pkt Len Max,Fwd Pkts/s,0.1315421846805286
Tot Bwd Pkts,Down/Up Ratio,0.1314247490210159
Down/Up Ratio,Subflow Bwd Pkts,0.1314247490210159
Bwd Pkt Len Std,Bwd Pkts/s,0.13135326670822509
Fwd Pkt Len Min,Fwd IAT Max,0.1311491815200185
ECE Flag Cnt,Bwd Seg Size Avg,0.13111442891563344
Bwd Pkt Len Mean,ECE Flag Cnt,0.1311144289156334
RST Flag Cnt,Bwd Seg Size Avg,0.1311076492060042
Bwd Pkt Len Mean,RST Flag Cnt,0.13110764920600418
Fwd Pkts/s,Pkt Len Mean,0.1307880636769995
ACK Flag Cnt,ECE Flag Cnt,0.13058425403618643
RST Flag Cnt,ACK Flag Cnt,0.13056999632343183
Bwd Pkt Len Min,Bwd IAT Std,0.13045810278445802
Pkt Len Mean,Down/Up Ratio,0.1303323115103762
Active Min,Idle Std,0.13014846725212717
Fwd Pkt Len Max,Flow IAT Mean,0.13008324300754684
Bwd Pkt Len Min,URG Flag Cnt,0.13003023963093518
Fwd Pkt Len Std,Bwd Pkts/s,0.12981783227325858
Fwd Pkt Len Min,Bwd IAT Std,0.1298125327710982
Fwd IAT Tot,PSH Flag Cnt,0.1297586039254285
Bwd Pkt Len Mean,Fwd Pkts/s,0.1292935626397857
Fwd Pkts/s,Bwd Seg Size Avg,0.1292935626397857
Bwd Header Len,Down/Up Ratio,0.12891518079515019
Fwd Pkts/s,SYN Flag Cnt,0.12862280005304683
Fwd PSH Flags,Fwd Pkts/s,0.12862280005304683
Flow IAT Mean,Pkt Len Std,0.12816588681774632
Protocol,RST Flag Cnt,0.12796182632218064
Protocol,ECE Flag Cnt,0.12795978988375875
Pkt Len Min,URG Flag Cnt,0.12783754859270985
Bwd Pkt Len Mean,Bwd Pkts/s,0.12765294737494703
Bwd Pkts/s,Bwd Seg Size Avg,0.12765294737494703
Pkt Len Var,Active Max,0.12723900115102357
Flow Pkts/s,Fwd Act Data Pkts,0.12710591920425127
Bwd Header Len,Pkt Len Var,0.1270713011876236
Bwd Header Len,Pkt Len Max,0.12698620947713565
Bwd Pkt Len Mean,Active Mean,0.12677835124983747
Bwd Seg Size Avg,Active Mean,0.1267783512498374
Flow Pkts/s,ACK Flag Cnt,0.12668826984523024
Bwd IAT Std,ACK Flag Cnt,0.1265937673406585
Fwd IAT Mean,Bwd IAT Mean,0.12657133194041634
Fwd Header Len,Pkt Len Var,0.12634380615598978
Bwd IAT Max,Pkt Len Min,0.12599804740996076
Bwd Pkts/s,URG Flag Cnt,0.1255874916580849
Bwd IAT Mean,Idle Std,0.1253906618155625
Active Min,Idle Min,0.1247646704228276
Bwd Pkt Len Std,Fwd PSH Flags,0.12428544568695371
Bwd Pkt Len Std,SYN Flag Cnt,0.12428544568695371
Flow IAT Mean,Pkt Len Mean,0.12423396837781575
Fwd PSH Flags,Pkt Len Max,0.12395957984625464
Pkt Len Max,SYN Flag Cnt,0.1239595798462546
Protocol,Bwd IAT Mean,0.12392244946068964
Fwd Pkt Len Min,URG Flag Cnt,0.12370518985167311
Fwd Header Len,PSH Flag Cnt,0.12356568316917635
Flow IAT Std,Fwd IAT Mean,0.12342641510369198
Bwd Pkt Len Min,Bwd IAT Max,0.12317797985129815
Down/Up Ratio,Subflow Bwd Byts,0.12312562557541681
TotLen Bwd Pkts,Down/Up Ratio,0.12312562557541681
Fwd Pkt Len Std,Flow IAT Mean,0.1230135441056242
Fwd Pkt Len Min,Bwd IAT Max,0.12300379262576269
Subflow Fwd Pkts,Active Max,0.12296131588238618
Tot Fwd Pkts,Active Max,0.12296131588238618
URG Flag Cnt,Init Fwd Win Byts,0.1228761051144852
Bwd Pkt Len Min,Fwd IAT Mean,0.12259123456961742
Bwd Pkt Len Max,Bwd Header Len,0.12239846260990361
Fwd Pkt Len Std,Active Max,0.12200761489569259
Fwd IAT Max,Active Mean,0.12172909415455592
Fwd Pkt Len Std,Fwd Pkts/s,0.12165051512250477
Bwd IAT Tot,Bwd IAT Min,0.1213543963852788
Bwd Header Len,Active Max,0.12133829234497695
Fwd Pkt Len Std,Bwd IAT Mean,0.12117150600346009
Subflow Bwd Pkts,Active Max,0.12073911992361573
Tot Bwd Pkts,Active Max,0.12073911992361573
Bwd IAT Tot,Fwd Header Len,0.12070599028708996
Down/Up Ratio,Bwd Seg Size Avg,0.1203495670726599
Bwd Pkt Len Mean,Down/Up Ratio,0.12034956707265988
Tot Bwd Pkts,Pkt Len Var,0.11984307476853032
Pkt Len Var,Subflow Bwd Pkts,0.11984307476853032
Fwd IAT Min,Fwd Act Data Pkts,0.11980500531023727
Flow IAT Min,Fwd Act Data Pkts,0.11964919244789698
Pkt Len Min,RST Flag Cnt,0.11907713483028312
Pkt Len Min,ECE Flag Cnt,0.11907523978659156
Bwd Pkt Len Mean,Flow IAT Mean,0.11903749180806728
Flow IAT Mean,Bwd Seg Size Avg,0.11903749180806728
Dst Port,Flow Duration,0.11887487809935507
Bwd IAT Tot,Bwd Header Len,0.11881170928281175
TotLen Fwd Pkts,Pkt Len Std,0.11867038735090585
Pkt Len Std,Subflow Fwd Byts,0.11867038735090585
Fwd Act Data Pkts,Idle Max,0.11822524749579884
